time_s,marker,label
0.0,88.0,InicioProtocolo
1.0,11.0,"Fase=prep,Trial=1,Mov=E"
3.0,12.0,"Fase=execute,Trial=1,Mov=E"
5.0,13.0,"Fase=hold,Trial=1,Mov=E"
7.0,14.0,"Fase=rest,Trial=1,Mov=E"
8.0,10.0,"Fase=alert,Trial=2,Mov=E"
9.0,11.0,"Fase=prep,Trial=2,Mov=E"
11.0,12.0,"Fase=execute,Trial=2,Mov=E"
13.0,13.0,"Fase=hold,Trial=2,Mov=E"
15.0,14.0,"Fase=rest,Trial=2,Mov=E"
16.0,10.0,"Fase=alert,Trial=3,Mov=F"
17.0,11.0,"Fase=prep,Trial=3,Mov=F"
19.0,12.0,"Fase=execute,Trial=3,Mov=F"
21.0,13.0,"Fase=hold,Trial=3,Mov=F"
23.0,14.0,"Fase=rest,Trial=3,Mov=F"
24.0,10.0,"Fase=alert,Trial=4,Mov=F"
25.0,11.0,"Fase=prep,Trial=4,Mov=F"
27.0,12.0,"Fase=execute,Trial=4,Mov=F"
29.0,13.0,"Fase=hold,Trial=4,Mov=F"
31.0,14.0,"Fase=rest,Trial=4,Mov=F"
