time_s,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,orient_0,orient_1,orient_2,orient_3,accel_0,accel_1,accel_2,gyro_0,gyro_1,gyro_2,pose,rssi
0.0,6.094,-20.8,15.009,18.811,-39.021,-26.044,2.557,-6.325,-0.0017,-0.0853,0.0879,0.0778,0.0198,0.3382,0.1403,-0.1719,0.0738,-0.1918,rest,-55
0.02,17.569,-0.999,-3.697,-13.619,24.451,-3.091,-8.567,-7.043,0.0532,0.0365,0.0413,0.0431,0.6425,-0.1219,-0.1537,-0.1628,0.1232,0.2258,rest,-55
0.04,-2.279,-16.803,-16.49,13.012,14.865,10.863,-13.31,4.643,0.0117,0.0219,0.0871,0.0224,0.2037,0.0203,0.0867,0.1263,-0.2914,-0.0639,rest,-55
0.06,-9.407,-12.778,-5.503,29.899,-17.317,19.366,-33.657,-6.698,0.0163,0.0586,0.0711,0.0793,-0.1046,-0.1387,0.2574,-0.0383,-0.2551,-0.2267,rest,-55
0.08,-18.389,9.943,2.849,13.81,-8.545,3.171,12.512,-6.187,0.0457,-0.0662,-0.0363,-0.0382,-0.3588,0.1461,-0.1408,0.0025,0.0961,0.0893,rest,-55
0.1,13.308,-1.97,-8.466,-1.594,-33.747,-28.942,-26.454,-19.945,0.04,-0.0905,-0.0378,0.1299,-0.1069,0.2213,-0.2801,-0.0411,-0.19,-0.0678,rest,-55
0.12,16.806,-34.546,8.688,4.755,-11.883,-28.921,1.443,-10.59,0.0233,0.0022,0.1602,-0.0239,-0.307,0.0538,0.066,0.2718,0.167,0.0714,rest,-55
0.14,29.266,-23.775,-12.795,-18.532,-7.796,-27.534,12.703,-4.444,-0.1471,-0.1016,0.0314,0.0838,0.599,0.8742,0.1243,-0.1979,-0.4264,0.0535,rest,-55
0.16,-16.259,-8.307,-12.242,-2.816,21.32,3.141,-3.173,-20.713,-0.1675,-0.0486,-0.0054,0.1768,0.0391,0.2948,-0.1498,-0.237,-0.193,-0.145,rest,-55
0.18,42.569,-16.428,16.77,-18.059,18.631,7.699,-3.133,-0.815,-0.0655,0.0446,-0.0455,-0.1226,-0.3834,0.0518,0.4737,0.032,-0.0237,0.0572,rest,-55
0.2,26.12,4.388,-8.219,22.126,8.575,30.715,3.665,-24.489,-0.1368,0.1651,0.1724,-0.018,-0.115,0.4384,-0.3321,-0.1789,0.1287,-0.0789,rest,-55
0.22,-0.102,-3.269,6.751,28.15,1.812,12.879,-41.003,-0.974,-0.0843,-0.1219,-0.0878,-0.0334,0.2748,-0.3979,0.0092,-0.0968,-0.0655,0.2006,rest,-55
0.24,10.762,26.748,-3.09,-13.919,-4.477,4.85,3.531,-21.688,0.009,0.0228,0.2517,0.1877,-0.256,-0.0862,-0.439,-0.1181,0.0631,0.2412,rest,-55
0.26,-14.582,-13.083,-42.946,-3.253,-21.248,-10.589,-17.537,-1.885,-0.1758,-0.1467,0.2129,-0.1287,-0.329,0.5511,0.8715,-0.2343,-0.0736,0.0683,rest,-55
0.28,34.574,-19.737,-4.906,15.547,8.695,-7.523,-2.676,-27.498,-0.0238,-0.0266,0.0232,-0.0555,0.1415,0.3038,0.0466,0.0704,0.0106,0.0,rest,-55
0.3,-14.431,6.33,-1.946,41.863,31.467,7.717,-15.261,-22.248,0.1191,0.0263,0.048,-0.1745,0.2782,0.1363,-0.3331,-0.0943,0.0527,0.0105,rest,-55
0.32,-5.843,-2.07,-5.04,3.051,29.43,-51.333,-4.737,3.53,0.0296,-0.0372,-0.1757,0.0328,0.5182,-0.4602,0.2591,-0.0657,-0.0123,-0.2106,rest,-55
0.34,-6.689,26.001,11.653,34.646,23.548,8.782,34.879,8.78,0.0828,-0.0297,0.0067,-0.0697,0.2969,-0.3535,0.2347,-0.0381,0.2342,0.1502,rest,-55
0.36,36.413,14.615,-31.441,-1.339,-23.44,-10.366,30.225,12.751,-0.0699,-0.1014,0.0033,-0.1217,-0.2013,0.0936,0.3466,0.1218,-0.4583,0.0609,rest,-55
0.38,1.441,8.278,32.324,-41.265,-11.822,11.818,-31.632,29.519,0.0368,0.0847,-0.0571,0.0814,0.3205,0.0699,0.0703,0.0541,-0.1727,-0.0295,rest,-55
